"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"41",4,"Colston Loveland",CHI,"TE3","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"42",4,"Javonte Williams",DAL,"RB17","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-10"
"43",4,"Malik Nabers",NYG,"WR20","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-8"
"44",4,"Jaylen Waddle",DEN,"WR21","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"45",4,"Joe Burrow",CIN,"QB4","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8"
"46",4,"Travis Etienne Jr.",NO,"RB18","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-12"
"47",4,"Terry McLaurin",WAS,"WR22","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+10"
"48",5,"Davante Adams",LAR,"WR23","11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","+6"
"49",5,"Luther Burden III",CHI,"WR24","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"50",5,"Cam Skattebo",NYG,"RB19","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-8"
"51",5,"Jameson Williams",DET,"WR25","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+5"
"52",5,"Quinshon Judkins",CLE,"RB20","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5"
"53",5,"Bucky Irving",TB,"RB21","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4"
"54",5,"Jayden Daniels",WAS,"QB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+7"
"55",5,"Mike Evans",SF,"WR26","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"56",5,"Tyler Warren",IND,"TE4","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"57",5,"D'Andre Swift",CHI,"RB22","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"58",5,"TreVeyon Henderson",NE,"RB23","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-7"
"59",5,"Christian Watson",GB,"WR27","11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+4"
"60",5,"Jalen Hurts",PHI,"QB6","10","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+6"
"61",5,"DJ Moore",BUF,"WR28","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-11"
"62",5,"David Montgomery",HOU,"RB24","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-14"
"63",5,"Rome Odunze",CHI,"WR29","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"64",5,"Bhayshul Tuten",JAC,"RB25","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4"
"65",5,"Tucker Kraft",GB,"TE5","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"66",5,"Caleb Williams",CHI,"QB7","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"67",5,"Jadarian Price",SEA,"RB26","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5"
"68",6,"Justin Herbert",LAC,"QB8","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+14"
"69",6,"Carnell Tate",TEN,"WR30","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"70",6,"Jaylen Warren",PIT,"RB27","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"71",6,"Marvin Harrison Jr.",ARI,"WR31","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"72",6,"Alec Pierce",IND,"WR32","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+12"
"73",6,"Trevor Lawrence",JAC,"QB9","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+10"
"74",6,"Tony Pollard",TEN,"RB28","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"75",6,"DK Metcalf",PIT,"WR33","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10"
"76",6,"Rhamondre Stevenson",NE,"RB29","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"77",6,"Brian Thomas Jr.",JAC,"WR34","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-12"
"78",6,"Dak Prescott",DAL,"QB10","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"79",6,"Harold Fannin Jr.",CLE,"TE6","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-8"
"80",6,"Chuba Hubbard",CAR,"RB30","5","Coach Upside rating","Coach Bust rating","1 out of 5 stars","-2"
"81",6,"Courtland Sutton",DEN,"WR35","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+6"
"82",6,"Kyle Pitts Sr.",ATL,"TE7","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-9"
"83",6,"Rico Dowdle",PIT,"RB31","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"84",6,"Sam LaPorta",DET,"TE8","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"85",6,"Chris Godwin Jr.",TB,"WR36","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+7"
"86",6,"Parker Washington",JAC,"WR37","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5"
"87",6,"Jaxson Dart",NYG,"QB11","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"88",6,"RJ Harvey",DEN,"RB32","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-9"
"89",6,"Jordyn Tyson",NO,"WR38","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-13"
"90",6,"Kyle Monangai",CHI,"RB33","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"",6
"91",6,"Brock Purdy",SF,"QB12","8","Coach Upside rating","Coach Bust rating","1 out of 5 stars","+8"
"92",6,"Michael Wilson",ARI,"WR39","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-2"
"93",6,"Michael Pittman Jr.",PIT,"WR40","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+7"
"94",6,"J.K. Dobbins",DEN,"RB34","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"95",6,"Blake Corum",LAR,"RB35","11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"96",7,"Quentin Johnston",LAC,"WR41","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"97",7,"Makai Lemon",PHI,"WR42","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-6"
"98",7,"Patrick Mahomes II",KC,"QB13","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4"
"99",7,"Bo Nix",DEN,"QB14","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10"
"100",7,"Jakobi Meyers",JAC,"WR43","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+5"
"101",7,"Ricky Pearsall",SF,"WR44","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"102",7,"Matthew Stafford",LAR,"QB15","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5"
"103",7,"Kenny Gainwell",TB,"RB36","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"104",7,"George Kittle",SF,"TE9","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-6"
"105",7,"Travis Kelce",KC,"TE10","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"106",7,"Wan'Dale Robinson",TEN,"WR45","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"107",7,"Rachaad White",WAS,"RB37","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+7"
"108",7,"Jordan Addison",MIN,"WR46","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-5"
"109",7,"Josh Downs",IND,"WR47","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+4"
"110",7,"Aaron Jones Sr.",MIN,"RB38","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+10"
"111",7,"Jared Goff",DET,"QB16","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"112",7,"Jayden Reed",GB,"WR48","11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-4"
"113",7,"Kyler Murray",MIN,"QB17","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+11"
"114",7,"Dalton Kincaid",BUF,"TE11","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"115",7,"Jacory Croskey-Merritt",WAS,"RB39","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+4"
"116",7,"Jake Ferguson",DAL,"TE12","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"117",7,"Jordan Mason",MIN,"RB40","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"118",7,"Jonathon Brooks",CAR,"RB41","5","Coach Upside rating","Coach Bust rating","1 out of 5 stars","-14"
"119",7,"Isaiah Likely",NYG,"TE13","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-9"
"120",7,"Xavier Worthy",KC,"WR49","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"121",7,"Dallas Goedert",PHI,"TE14","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5"
"122",7,"Jordan Love",GB,"QB18","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"123",7,"Baker Mayfield",TB,"QB19","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"124",7,"Tyler Shough",NO,"QB20","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4"
"125",7,"Jayden Higgins",HOU,"WR50","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+6"
"126",7,"Mark Andrews",BAL,"TE15","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5"
"127",7,"Tyrone Tracy Jr.",NYG,"RB42","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"128",7,"Khalil Shakir",BUF,"WR51","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"129",7,"Chris Rodriguez Jr.",JAC,"RB43","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+10"
"130",7,"Romeo Doubs",NE,"WR52","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-8"
"131",8,"Tyler Allgeier",ARI,"RB44","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+14"
"132",8,"Zach Charbonnet",SEA,"RB45","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"133",8,"KC Concepcion",CLE,"WR53","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-8"
"134",8,"Malik Willis",MIA,"QB21","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"135",8,"Jalen Coker",CAR,"WR54","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"136",8,"Matthew Golden",GB,"WR55","11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-10"
"137",8,"Isiah Pacheco",DET,"RB46","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+15"
"138",8,"Woody Marks",HOU,"RB47","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"139",8,"Tyjae Spears",TEN,"RB48","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9"
"140",8,"C.J. Stroud",HOU,"QB22","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+9"
"141",8,"Dylan Sampson",CLE,"RB49","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+23"
"142",8,"Sam Darnold",SEA,"QB23","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"143",8,"Juwan Johnson",NO,"TE16","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"144",8,"Brenton Strange",JAC,"TE17","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-9"
"145",8,"Rashid Shaheed",SEA,"WR56","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-7"
"146",8,"Alvin Kamara",NO,"RB50","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+13"
"147",8,"Hunter Henry",NE,"TE18","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-10"
"148",8,"Oronde Gadsden II",LAC,"TE19","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-16"
"149",8,"Chig Okonkwo",WAS,"TE20","7","Coach Upside rating","Coach Bust rating","1 out of 5 stars","-9"
"150",8,"Keaton Mitchell",LAC,"RB51","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"151",8,"Tank Bigsby",PHI,"RB52","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+17"
"152",8,"Cam Ward",TEN,"QB24","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"153",8,"Omar Cooper Jr.",NYJ,"WR57","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"154",8,"Jauan Jennings",MIN,"WR58","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+2"
"155",8,"Jerry Jeudy",CLE,"WR59","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+14"
"156",8,"Brian Robinson Jr.",ATL,"RB53","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"157",8,"Denzel Boston",CLE,"WR60","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"158",8,"Jonah Coleman",DEN,"RB54","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-11"
"159",8,"Bryce Young",CAR,"QB25","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"160",8,"Daniel Jones",IND,"QB26","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-6"
"161",8,"Tre Tucker",LV,"WR61","13","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+11"
"162",8,"Jalen McMillan",TB,"WR62","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-7"
"163",8,"Adonai Mitchell",NYJ,"WR63","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+15"
"164",8,"Dalton Schultz",HOU,"TE21","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"165",8,"Tre' Harris",LAC,"WR64","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+22"
"166",8,"Braelon Allen",NYJ,"RB55","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+16"
"167",8,"Travis Hunter",JAC,"WR65","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-6"
"168",9,"T.J. Hockenson",MIN,"TE22","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-10"
"169",9,"Kenyon Sadiq",NYJ,"TE23","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-23"
"170",9,"Ryan Flournoy",DAL,"WR66","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+22"
"171",9,"AJ Barner",SEA,"TE24","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5"
"172",9,"Troy Franklin",DEN,"WR67","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+45"
"173",9,"Kayshon Boutte",NE,"WR68","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+18"
"174",9,"Emanuel Wilson",SEA,"RB56","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+35"
"175",9,"Jacoby Brissett",ARI,"QB27","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"176",9,"Calvin Ridley",TEN,"WR69","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9"
"177",9,"Isaac TeSlaa",DET,"WR70","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"178",9,"Houston Texans",HOU,"DST1","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"179",9,"James Conner",ARI,"RB57","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+26"
"180",9,"Kimani Vidal",LAC,"RB58","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+21"
"181",9,"Sean Tucker",TB,"RB59","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"182",9,"Ray Davis",BUF,"RB60","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+13"
"183",9,"Jaylin Noel",HOU,"WR71","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+40"
"184",9,"Jalen Nailor",LV,"WR72","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-19"
"185",9,"Gunnar Helm",TEN,"TE25","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-12"
"186",9,"Malik Washington",MIA,"WR73","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+12"
"187",9,"Darnell Mooney",NYG,"WR74","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+25"
"188",9,"Denver Broncos",DEN,"DST2","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"189",9,"Stefon Diggs",FA,"WR75","-","Coach Upside rating","Coach Bust rating","-","-46"
"190",9,"Pat Bryant",DEN,"WR76","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+37"
"191",9,"Seattle Seahawks",SEA,"DST3","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"192",9,"De'Zhaun Stribling",SF,"WR77","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+10"
"193",9,"Los Angeles Rams",LAR,"DST4","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"194",9,"Nicholas Singleton",TEN,"RB61","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-8"
"195",9,"Philadelphia Eagles",PHI,"DST5","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","0 out of 5 stars","-"
"196",9,"Brandon Aubrey",DAL,"K1","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-"
"197",9,"Emmett Johnson",KC,"RB62","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-21"
"198",9,"Mike Washington Jr.",LV,"RB63","13","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-19"
"199",9,"Jacksonville Jaguars",JAC,"DST6","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"200",9,"Tank Dell",HOU,"WR78","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-6"
"201",9,"Pat Freiermuth",PIT,"TE26","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+5"
"202",9,"Ka'imi Fairbairn",HOU,"K2","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-"
"203",9,"Cameron Dicker",LAC,"K3","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"204",9,"Dontayvion Wicks",PHI,"WR79","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+22"
"205",9,"Rashod Bateman",BAL,"WR80","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+24"
"206",9,"Ted Hurst III",TB,"WR81","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+19"
"207",9,"Pittsburgh Steelers",PIT,"DST7","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"208",9,"MarShawn Lloyd",GB,"RB64","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+5"
"209",9,"Cam Little",JAC,"K4","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"210",9,"Minnesota Vikings",MIN,"DST8","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"211",9,"Antonio Williams",WAS,"WR82","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-40"
"212",9,"Jason Myers",SEA,"K5","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"213",9,"New England Patriots",NE,"DST9","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"214",9,"Terrance Ferguson",LAR,"TE27","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-33"
"215",9,"Cooper Kupp",SEA,"WR83","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-8"
"216",10,"David Njoku",LAC,"TE28","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-32"
"217",10,"Geno Smith",NYJ,"QB28","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-20"
"218",10,"Deebo Samuel Sr.",FA,"WR84","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-51"
"219",10,"Aaron Rodgers",PIT,"QB29","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-30"
"220",10,"Kaytron Allen",WAS,"RB65","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-27"
"221",10,"Los Angeles Chargers",LAC,"DST10","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"222",10,"Eddy Pineiro",SF,"K6","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"223",10,"Cade Otton",TB,"TE29","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-49"
"224",10,"Tyler Loop",BAL,"K7","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"225",10,"Baltimore Ravens",BAL,"DST11","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"226",10,"Jaylen Wright",MIA,"RB66","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-5"
"227",10,"Chimere Dike",TEN,"WR85","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+13"
"228",10,"Cairo Santos",CHI,"K8","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","0 out of 5 stars","-"
"229",10,"Kansas City Chiefs",KC,"DST12","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"230",10,"Seth McGowan",IND,"RB67","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+80"
"231",10,"Jake Bates",DET,"K9","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"232",10,"Germie Bernard",PIT,"WR86","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-33"
"233",10,"Zachariah Branch",ATL,"WR87","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-45"
"234",10,"Colby Parkinson",LAR,"TE30","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-26"
